sal_code,deviance,res,x,y
1993844,-0.246,3,-34.06249738,18.6775815
1993858,-0.132,2,-34.05026125,18.69494852
1993875,-0.332,3,-34.04811198,18.66649934
1993885,-0.214,3,-34.02071868,18.65408763
1993892,-0.157,2,-34.02180863,18.66490195
1993897,-0.074,2,-34.06054518,18.67620778
1993907,1.095,1,-34.05325995,18.68121883
1993917,-0.475,3,-34.04217926,18.68258427
1993922,-0.751,5,-34.0301739,18.65396033
1993929,-0.68,4,-34.04648804,18.6667416
1993936,-0.439,3,-34.04417503,18.70043587
1993942,0.08,2,-34.05436805,18.69567355
1993946,0.055,2,-34.02656894,18.66177321
1993953,0.221,2,-34.0247134,18.66363596
1993958,-0.896,5,-34.06134443,18.69924341
1993959,-0.535,4,-34.04875899,18.69791852
1993961,-0.372,3,-34.03966234,18.69664998
1993966,-0.867,5,-34.03784785,18.70861475
1993978,2.136,1,-34.04317209,18.69478654
1993980,-0.39,3,-34.04570997,18.70002278
1993995,-0.447,3,-34.04331067,18.67106186
1993996,-0.415,3,-34.0450599,18.70561073
1993997,-0.415,3,-34.02217036,18.65315204
1994001,-0.158,2,-34.02009409,18.66304119
1994003,0.179,2,-34.01097506,18.6495513
1994011,1.379,1,-34.02423401,18.65858352
1994037,1.03,1,-34.01135733,18.64526291
1994065,-0.71,5,-34.06527313,18.68285234
1994068,-0.368,3,-34.04145996,18.67007984
1994089,-0.109,2,-34.01620803,18.65458861
1994098,2.648,1,-34.04112521,18.69698811
1994111,0.144,2,-34.04342258,18.70936363
1994115,-0.18,2,-34.01633643,18.64117556
1994118,-0.018,2,-34.05741284,18.67923055
1994125,-0.317,3,-34.0067651,18.63432866
1994142,-0.666,4,-34.00861976,18.63297441
1994149,-0.882,5,-34.05848105,18.70241409
1994150,5.514,1,-34.01481613,18.65037586
1994155,0.656,1,-34.0276426,18.67394636
1994161,-0.657,4,-34.03979913,18.70923637
1994169,0.388,2,-34.04736715,18.70851299
1994170,0.046,2,-34.02030424,18.65692256
1994173,-0.429,3,-34.03151822,18.66994939
1994174,0.77,1,-34.04995641,18.70011532
1994176,-0.445,3,-34.04908579,18.684185
1994209,0.532,1,-34.01823292,18.66337105
1994214,1.388,1,-34.04560178,18.71169704
1994216,-0.673,4,-34.0263916,18.65517216
1994225,-0.009,2,-34.00712774,18.64109802
1994227,-0.474,3,-34.04831956,18.66391098
1994243,0.851,1,-34.05949443,18.6805862
1994263,-0.23,3,-34.02837234,18.66729255
1994279,-0.465,3,-34.0387862,18.71177206
1994282,-0.147,2,-34.009671,18.6437527
1994283,-0.311,3,-34.02880985,18.67831773
1994335,-0.227,3,-34.01967448,18.6527321
1994338,-0.132,2,-34.04193316,18.70828198
1994355,-0.025,2,-34.05779944,18.66682936
1994386,0.585,1,-34.05655101,18.71190649
1994390,-0.394,3,-34.03992399,18.70735606
1994393,-0.58,4,-34.06094283,18.67355095
1994411,-0.469,3,-34.01848304,18.65536509
1994436,-0.093,2,-34.01512179,18.64726519
1994439,0.775,1,-34.02388297,18.66143878
1994440,1.335,1,-34.01759635,18.66149579
1994444,-0.056,2,-34.05241134,18.70024934
1994457,-0.904,5,-34.05836174,18.69796899
1994484,0.215,2,-34.02307567,18.65317382
1994488,-0.594,4,-34.01682555,18.63367175
1994495,-0.863,5,-34.06341732,18.70008992
1994506,0.016,2,-34.04797375,18.69610619
1994526,-0.69,4,-34.05031734,18.70498878
1994533,-0.686,4,-34.05021091,18.70695148
1994537,-0.846,5,-34.0543771,18.71297915
1994540,-0.631,4,-34.06229235,18.6792585
1994556,2.582,1,-34.05230962,18.69356169
1994568,-0.17,2,-34.05395799,18.70068298
1994582,-0.441,3,-34.04785008,18.68530983
1994587,4.405,1,-34.04800251,18.71309988
1994608,-0.349,3,-34.05901293,18.66551375
1994611,-0.913,5,-34.05581739,18.70467726
1994632,-0.721,5,-34.04097898,18.71087823
1994635,-0.895,5,-34.04438941,18.71266539
1994675,-0.633,4,-34.05245721,18.66417125
1994735,-0.424,3,-34.0118639,18.64880015
1994741,2.46,1,-34.01426302,18.65484368
1994751,-0.23,3,-34.00999472,18.64041696
1994755,0.155,2,-34.05344959,18.66723018
1994767,-0.549,4,-34.0112828,18.63807347
1994785,-0.719,5,-34.05892603,18.67500772
1994798,0.482,1,-34.05263731,18.67049981
1994817,0.205,2,-34.02836429,18.66179299
1994818,2.312,1,-34.01261249,18.65328238
1994827,-0.031,2,-34.02384489,18.67116542
1994838,1.752,1,-34.01477821,18.64182534
1994849,0.745,1,-34.05123431,18.70007352
1994901,0.417,1,-34.01011118,18.64687865
